"b","sb","prior"
"1",0,0,"CAISA"
"2",0.004,6.59803751141311e-06,"CAISA"
"3",0.008,1.35142570754171e-05,"CAISA"
"4",0.012,2.10925054576193e-05,"CAISA"
"5",0.016,2.97308619024506e-05,"CAISA"
"6",0.02,3.99164332105492e-05,"CAISA"
"7",0.024,5.22706166612112e-05,"CAISA"
"8",0.028,6.76106452141684e-05,"CAISA"
"9",0.032,8.70357450254413e-05,"CAISA"
"10",0.036,0.000112050155909844,"CAISA"
"11",0.04,0.000144741327867785,"CAISA"
"12",0.044,0.000188040970836396,"CAISA"
"13",0.048,0.000246111112457901,"CAISA"
"14",0.052,0.000324919715046167,"CAISA"
"15",0.056,0.000433104990938597,"CAISA"
"16",0.06,0.000583280652472226,"CAISA"
"17",0.064,0.000794014761684462,"CAISA"
"18",0.068,0.00109283352168958,"CAISA"
"19",0.072,0.00152076783706301,"CAISA"
"20",0.076,0.00213917090901199,"CAISA"
"21",0.08,0.00303973847308186,"CAISA"
"22",0.084,0.00435867846357196,"CAISA"
"23",0.088,0.0062953157760311,"CAISA"
"24",0.092,0.00913298363158116,"CAISA"
"25",0.096,0.0132538849996875,"CAISA"
"26",0.1,0.0191276346364144,"CAISA"
"27",0.104,0.0272376911356168,"CAISA"
"28",0.108,0.0379084419521282,"CAISA"
"29",0.112,0.0510479715050715,"CAISA"
"30",0.116,0.0659465291685252,"CAISA"
"31",0.12,0.081357352225295,"CAISA"
"32",0.124,0.0959260498340107,"CAISA"
"33",0.128,0.108694908842427,"CAISA"
"34",0.132,0.119325762541553,"CAISA"
"35",0.136,0.127981335768269,"CAISA"
"36",0.14,0.13506753599465,"CAISA"
"37",0.144,0.141024862344523,"CAISA"
"38",0.148,0.146223803279794,"CAISA"
"39",0.152,0.150937518541841,"CAISA"
"40",0.156,0.155351924471326,"CAISA"
"41",0.16,0.159586981806907,"CAISA"
"42",0.164,0.163717165447398,"CAISA"
"43",0.168,0.167787340370032,"CAISA"
"44",0.172,0.171823861202912,"CAISA"
"45",0.176,0.175841866790083,"CAISA"
"46",0.18,0.179849875138799,"CAISA"
