"b","sb","prior"
"152",2.5,2.17818932512464,"SCAD"
"153",2.55,2.27818932512464,"SCAD"
"154",2.6,2.37818932512464,"SCAD"
"155",2.65,2.47818932512464,"SCAD"
"156",2.7,2.57818932512464,"SCAD"
"157",2.75,2.67818932512464,"SCAD"
"158",2.8,2.77818932512464,"SCAD"
"159",2.85,2.85,"SCAD"
"160",2.9,2.9,"SCAD"
"161",2.95,2.95,"SCAD"
"162",3,3,"SCAD"
"163",3.05,3.05,"SCAD"
"164",3.1,3.1,"SCAD"
"165",3.15,3.15,"SCAD"
"166",3.2,3.2,"SCAD"
"167",3.25,3.25,"SCAD"
"168",3.3,3.3,"SCAD"
"169",3.35,3.35,"SCAD"
"170",3.4,3.4,"SCAD"
"171",3.45,3.45,"SCAD"
"172",3.5,3.5,"SCAD"
"173",3.55,3.55,"SCAD"
"174",3.6,3.6,"SCAD"
"175",3.65,3.65,"SCAD"
"176",3.7,3.7,"SCAD"
"177",3.75,3.75,"SCAD"
"178",3.8,3.8,"SCAD"
"179",3.85,3.85,"SCAD"
"180",3.9,3.9,"SCAD"
"181",3.95,3.95,"SCAD"
"182",4,4,"SCAD"
"183",4.05,4.05,"SCAD"
"184",4.1,4.1,"SCAD"
"185",4.15,4.15,"SCAD"
"186",4.2,4.2,"SCAD"
"187",4.25,4.25,"SCAD"
"188",4.3,4.3,"SCAD"
"189",4.35,4.35,"SCAD"
"190",4.4,4.4,"SCAD"
"191",4.45,4.45,"SCAD"
"192",4.5,4.5,"SCAD"
"193",4.55,4.55,"SCAD"
"194",4.6,4.6,"SCAD"
"195",4.65,4.65,"SCAD"
"196",4.7,4.7,"SCAD"
"197",4.75,4.75,"SCAD"
"198",4.8,4.8,"SCAD"
"199",4.85,4.85,"SCAD"
"200",4.9,4.9,"SCAD"
"201",4.95,4.95,"SCAD"
"202",5,5,"SCAD"
"203",0,0,"MCP"
"204",0.05,0,"MCP"
"205",0.1,0,"MCP"
"206",0.15,0,"MCP"
"207",0.2,0,"MCP"
"208",0.25,0,"MCP"
"209",0.3,0,"MCP"
"210",0.35,0,"MCP"
"211",0.4,0,"MCP"
"212",0.45,0,"MCP"
"213",0.5,0,"MCP"
"214",0.55,0,"MCP"
"215",0.6,0,"MCP"
"216",0.65,0,"MCP"
"217",0.7,0,"MCP"
"218",0.75,0,"MCP"
"219",0.8,0,"MCP"
"220",0.85,0,"MCP"
"221",0.9,0,"MCP"
"222",0.95,0.0128766053038482,"MCP"
"223",1,0.0813951238223667,"MCP"
"224",1.05,0.149913642340885,"MCP"
"225",1.1,0.218432160859404,"MCP"
"226",1.15,0.286950679377922,"MCP"
"227",1.2,0.355469197896441,"MCP"
"228",1.25,0.423987716414959,"MCP"
"229",1.3,0.492506234933478,"MCP"
"230",1.35,0.561024753451997,"MCP"
"231",1.4,0.629543271970515,"MCP"
"232",1.45,0.698061790489033,"MCP"
"233",1.5,0.766580309007552,"MCP"
"234",1.55,0.835098827526071,"MCP"
"235",1.6,0.903617346044589,"MCP"
"236",1.65,0.972135864563108,"MCP"
"237",1.7,1.04065438308163,"MCP"
"238",1.75,1.10917290160014,"MCP"
"239",1.8,1.17769142011866,"MCP"
"240",1.85,1.24620993863718,"MCP"
"241",1.9,1.3147284571557,"MCP"
"242",1.95,1.38324697567422,"MCP"
"243",2,1.45176549419274,"MCP"
"244",2.05,1.52028401271126,"MCP"
"245",2.1,1.58880253122977,"MCP"
"246",2.15,1.65732104974829,"MCP"
"247",2.2,1.72583956826681,"MCP"
"248",2.25,1.79435808678533,"MCP"
"249",2.3,1.86287660530385,"MCP"
"250",2.35,1.93139512382237,"MCP"
"251",2.4,1.99991364234089,"MCP"
"252",2.45,2.0684321608594,"MCP"
"253",2.5,2.13695067937792,"MCP"
"254",2.55,2.20546919789644,"MCP"
"255",2.6,2.27398771641496,"MCP"
"256",2.65,2.34250623493348,"MCP"
"257",2.7,2.411024753452,"MCP"
"258",2.75,2.47954327197051,"MCP"
"259",2.8,2.54806179048903,"MCP"
"260",2.85,2.61658030900755,"MCP"
"261",2.9,2.68509882752607,"MCP"
"262",2.95,2.75361734604459,"MCP"
"263",3,2.82213586456311,"MCP"
"264",3.05,2.89065438308163,"MCP"
"265",3.1,2.95917290160014,"MCP"
"266",3.15,3.02769142011866,"MCP"
"267",3.2,3.09620993863718,"MCP"
"268",3.25,3.1647284571557,"MCP"
"269",3.3,3.23324697567422,"MCP"
"270",3.35,3.30176549419274,"MCP"
"271",3.4,3.37028401271126,"MCP"
"272",3.45,3.43880253122977,"MCP"
"273",3.5,3.5,"MCP"
