"fit","pred"
"1","CAISA",1.14360702460403
"2","CAISA",1.21608310359089
"3","CAISA",1.11144558036118
"4","CAISA",1.18599822714891
"5","CAISA",1.15426153489515
"6","CAISA",1.23346288294592
"7","CAISA",1.27773168853
"8","CAISA",1.27381215238902
"9","CAISA",1.17390194215196
"10","CAISA",1.20004353051228
"11","CAISA",1.23960814788161
"12","CAISA",1.20162478916978
"13","CAISA",1.26259488280754
"14","CAISA",1.19144770532161
"15","CAISA",11.7948765429693
"16","CAISA",1.27597651046484
"17","CAISA",1.12785272445784
"18","CAISA",1.29674028674723
"19","CAISA",1.24123564212097
"20","CAISA",1.33658207317379
"21","CAISA2",1.14417447927137
"22","CAISA2",1.25465947560233
"23","CAISA2",1.11400193122925
"24","CAISA2",1.2123999671161
"25","CAISA2",1.12745554887368
"26","CAISA2",1.2336599585957
"27","CAISA2",1.27702406311694
"28","CAISA2",1.34281070977519
"29","CAISA2",1.17439217010833
"30","CAISA2",1.12042394092892
"31","CAISA2",1.19196298488277
"32","CAISA2",1.20122064020904
"33","CAISA2",1.2766729327853
"34","CAISA2",1.18382431553684
"35","CAISA2",1.3753635722855
"36","CAISA2",1.28879834950698
"37","CAISA2",1.13993253290673
"38","CAISA2",1.29593060802549
"39","CAISA2",1.24122940321304
"40","CAISA2",1.34386110959063
"41","SUSIE",12.8591789382622
"42","SUSIE",12.0097360033433
"43","SUSIE",12.0402013833941
"44","SUSIE",10.1039990757247
"45","SUSIE",9.83405931231964
"46","SUSIE",10.8068241396729
"47","SUSIE",15.7322293864181
"48","SUSIE",9.67741620740988
"49","SUSIE",10.2907168936496
"50","SUSIE",12.1938624633268
"51","SUSIE",14.1778522516191
"52","SUSIE",11.1192143985835
"53","SUSIE",12.8351766100087
"54","SUSIE",9.79810747672306
"55","SUSIE",16.8622293087135
"56","SUSIE",8.72165920722132
"57","SUSIE",9.22779389694344
"58","SUSIE",13.4964444804626
"59","SUSIE",8.62164374001867
"60","SUSIE",10.9434057817021
"61","VARBVS",1.09823905934091
"62","VARBVS",1.26649868759921
"63","VARBVS",1.12045045675678
"64","VARBVS",1.23419943705081
"65","VARBVS",1.15546337599693
"66","VARBVS",1.2308214208586
"67","VARBVS",1.27656298541114
"68","VARBVS",1.27339733009725
"69","VARBVS",1.20211054284743
"70","VARBVS",1.12389645424055
"71","VARBVS",1.18503720537863
"72","VARBVS",1.19692143537963
"73","VARBVS",1.26436182073992
"74","VARBVS",1.18315767441846
"75","VARBVS",1.2498383593373
"76","VARBVS",1.27936413613367
"77","VARBVS",1.17919583531264
"78","VARBVS",1.28411912080733
"79","VARBVS",1.24500148923779
"80","VARBVS",1.27359370419291
"81","L0Learn",1.13454218893954
"82","L0Learn",1.3078003473057
"83","L0Learn",1.13938701169842
"84","L0Learn",1.23773943533514
"85","L0Learn",1.17349454903228
"86","L0Learn",1.21813045820638
"87","L0Learn",1.40482587341503
"88","L0Learn",1.32054695371441
"89","L0Learn",1.2397697955388
"90","L0Learn",1.2530928757355
"91","L0Learn",1.19519807771419
"92","L0Learn",1.22212071156648
"93","L0Learn",1.23401032981656
"94","L0Learn",1.17606220918966
"95","L0Learn",2.03504405944476
"96","L0Learn",1.28675770704367
"97","L0Learn",1.17195989631198
"98","L0Learn",1.32483957516824
"99","L0Learn",1.22915279550371
"100","L0Learn",1.23871352226449
"101","LASSO",2.11544151852241
"102","LASSO",2.72916421413528
"103","LASSO",2.78584694450936
"104","LASSO",1.85816269770957
"105","LASSO",2.51081422992261
"106","LASSO",2.76574316535379
"107","LASSO",3.46447993604739
"108","LASSO",2.5786123782793
"109","LASSO",2.29112939168723
"110","LASSO",2.25695853826708
"111","LASSO",4.00725342279122
"112","LASSO",4.40140731478309
"113","LASSO",6.05374054310412
"114","LASSO",3.00870571326641
"115","LASSO",3.66571566737201
"116","LASSO",5.5667709720635
"117","LASSO",1.61751863036544
"118","LASSO",4.0593958687938
"119","LASSO",3.12584569143139
"120","LASSO",4.6971506460258
"121","RIDGE",14.3246938669306
"122","RIDGE",13.1272239657551
"123","RIDGE",13.0866034784238
"124","RIDGE",10.6382646586257
"125","RIDGE",13.9046607871032
"126","RIDGE",13.4936697259495
"127","RIDGE",15.8312350285602
"128","RIDGE",13.4026984877294
"129","RIDGE",13.0149574950591
"130","RIDGE",13.0834758593548
"131","RIDGE",15.25175436657
"132","RIDGE",13.9016567034078
"133","RIDGE",14.8836153405373
"134","RIDGE",13.6517673058941
"135","RIDGE",16.3302094429607
"136","RIDGE",14.7814460320636
"137","RIDGE",13.681888731853
"138","RIDGE",15.4688504517897
"139","RIDGE",13.7267775694843
"140","RIDGE",13.9003277086281
"141","E-NET",2.14042170041359
"142","E-NET",2.82959742876066
"143","E-NET",2.89844547661003
"144","E-NET",1.89816470825338
"145","E-NET",2.61717780768657
"146","E-NET",2.80041875301116
"147","E-NET",3.66153806786794
"148","E-NET",2.61645078650829
"149","E-NET",2.25296227419215
"150","E-NET",2.20288127927288
"151","E-NET",3.99856574302743
"152","E-NET",4.5623019579785
"153","E-NET",6.09292275241834
"154","E-NET",3.13510167551115
"155","E-NET",3.73125958980362
"156","E-NET",5.43816661814078
"157","E-NET",1.64041744517832
"158","E-NET",4.08593594015194
"159","E-NET",3.3292882063663
"160","E-NET",4.60351610562395
"161","BLASSO",10.320290739927
"162","BLASSO",10.2599981448278
"163","BLASSO",9.08781866010486
"164","BLASSO",7.73779424376727
"165","BLASSO",8.0153964204183
"166","BLASSO",8.94893156043571
"167","BLASSO",11.8605290587686
"168","BLASSO",8.7276726411188
