"","fit","pred"
"1","default",1.11821175688944
"2","default",1.27479962494817
"3","default",1.11309499754182
"4","default",1.23410282396319
"5","default",1.12750150413992
"6","default",1.23243711708791
"7","default",1.27815082133058
"8","default",1.27334302517311
"9","default",1.17302804086845
"10","default",1.12393008028844
"11","default",1.23227689051255
"12","default",1.1974339358219
"13","default",1.23833504564508
"14","default",1.18389844640542
"15","default",1.24144706726431
"16","default",1.2843457016284
"17","default",1.17848182059017
"18","default",1.29253131275746
"19","default",1.24121597100523
"20","default",1.33723649203055
"21","lasso_cv_init",1.14336127854987
"22","lasso_cv_init",1.22107229482123
"23","lasso_cv_init",1.11439002083502
"24","lasso_cv_init",1.18436762891774
"25","lasso_cv_init",1.12749916820858
"26","lasso_cv_init",1.23264793396989
"27","lasso_cv_init",1.2785631339192
"28","lasso_cv_init",1.27361853553887
"29","lasso_cv_init",1.17103929883716
"30","lasso_cv_init",1.12168642420499
"31","lasso_cv_init",1.17505010419566
"32","lasso_cv_init",1.19570773757657
"33","lasso_cv_init",1.27408581923698
"34","lasso_cv_init",1.18391396989007
"35","lasso_cv_init",1.26896340345597
"36","lasso_cv_init",1.28214522169401
"37","lasso_cv_init",1.13995385707528
"38","lasso_cv_init",1.28979982893546
"39","lasso_cv_init",1.24120646683382
"40","lasso_cv_init",1.33481659640868
"41","lasso_path_order",1.08981353663528
"42","lasso_path_order",1.28729232268211
"43","lasso_path_order",1.1099774552003
"44","lasso_path_order",1.1861173192274
"45","lasso_path_order",1.15622218313488
"46","lasso_path_order",1.20289575468978
"47","lasso_path_order",1.28097304917443
"48","lasso_path_order",1.27431857667761
"49","lasso_path_order",1.17116965955978
"50","lasso_path_order",1.12010222293545
"51","lasso_path_order",1.17816114661321
"52","lasso_path_order",1.19618958888405
"53","lasso_path_order",1.24096227078683
"54","lasso_path_order",1.1838858106053
"55","lasso_path_order",11.3729683559035
"56","lasso_path_order",1.30592851566121
"57","lasso_path_order",1.14043438954851
"58","lasso_path_order",1.29702881192059
"59","lasso_path_order",1.2140735375053
"60","lasso_path_order",1.33221682677459
"61","lasso_cv_order",1.09466571702186
"62","lasso_cv_order",1.25023960062959
"63","lasso_cv_order",1.15978588159396
"64","lasso_cv_order",1.18503941744308
"65","lasso_cv_order",1.15433136760919
"66","lasso_cv_order",1.23037830191738
"67","lasso_cv_order",1.28034819131825
"68","lasso_cv_order",1.25366411268441
"69","lasso_cv_order",1.17492854332412
"70","lasso_cv_order",1.17063708411318
"71","lasso_cv_order",1.17981477517265
"72","lasso_cv_order",1.20733486643322
"73","lasso_cv_order",1.27052479126807
"74","lasso_cv_order",1.19049765416047
"75","lasso_cv_order",1.26835921317949
"76","lasso_cv_order",1.30735832446421
"77","lasso_cv_order",1.17847964426136
"78","lasso_cv_order",1.30684166270155
"79","lasso_cv_order",1.19813704329092
"80","lasso_cv_order",1.32987995736073
"81","pi",1.1255899936172
"82","pi",9.67790439009037
"83","pi",1.11208835510687
"84","pi",1.18438341150194
"85","pi",1.12749808723414
"86","pi",1.20231479287793
"87","pi",1.29847688451858
"88","pi",1.27361983917673
"89","pi",1.18032099171011
"90","pi",1.12037884006744
"91","pi",1.17695154587776
"92","pi",1.19558930434011
"93","pi",1.26618275398161
"94","pi",1.18388458304792
"95","pi",12.8755985235329
"96","pi",1.25723490880313
"97","pi",1.1785096937568
"98","pi",1.32162873991605
"99","pi",1.19814760717273
"100","pi",1.33712889222594
"101","univar_init",1.09438896622313
"102","univar_init",1.26531799506699
"103","univar_init",1.11266824022399
"104","univar_init",1.23408360852225
"105","univar_init",1.15422866560987
"106","univar_init",1.20369517881786
"107","univar_init",1223.67770519115
"108","univar_init",53.4220169836217
"109","univar_init",40.7684996642818
"110","univar_init",1.12291478881262
"111","univar_init",1.2299809860193
"112","univar_init",1.19665698152548
"113","univar_init",33.1271008998914
"114","univar_init",1.18400106690672
"115","univar_init",11.0153780987793
"116","univar_init",51.3278263661881
"117","univar_init",1.14043834624272
"118","univar_init",1.29147234861562
"119","univar_init",1.19796566035176
"120","univar_init",1.27949133508838
"121","univar_order",1.17056295126711
"122","univar_order",1.27249707918991
"123","univar_order",1.11158711208179
"124","univar_order",1.21272993165431
"125","univar_order",1.14696875256934
"126","univar_order",1.2039979733196
"127","univar_order",1.27819278843314
"128","univar_order",1.20696029354539
"129","univar_order",1.20785655062968
"130","univar_order",1.11906946792341
"131","univar_order",1.17876918011042
"132","univar_order",1.1965231439875
"133","univar_order",1.27136206091493
"134","univar_order",1.18388761092442
"135","univar_order",12.1402418373363
"136","univar_order",1.30654338084865
"137","univar_order",1.14043461401822
"138","univar_order",1.2681126347723
"139","univar_order",1.24120829760097
"140","univar_order",1.27990214685761
