"b","sb","prior"
"1",0,0,"CAISA"
"2",0.004,2.75825319517116e-05,"CAISA"
"3",0.008,5.64691729501138e-05,"CAISA"
"4",0.012,8.80665708721791e-05,"CAISA"
"5",0.016,0.000123997621562077,"CAISA"
"6",0.02,0.000166239038610386,"CAISA"
"7",0.024,0.000217298748786024,"CAISA"
"8",0.028,0.000280454610967622,"CAISA"
"9",0.032,0.000360084589422503,"CAISA"
"10",0.036,0.000462131529299757,"CAISA"
"11",0.04,0.000594764931617786,"CAISA"
"12",0.044,0.000769330108726324,"CAISA"
"13",0.048,0.00100171487846355,"CAISA"
"14",0.052,0.00131431847803067,"CAISA"
"15",0.056,0.00173887736159075,"CAISA"
"16",0.06,0.00232048090878862,"CAISA"
"17",0.064,0.00312316899934572,"CAISA"
"18",0.068,0.00423746699911488,"CAISA"
"19",0.072,0.00578990676715728,"CAISA"
"20",0.076,0.00795365319810922,"CAISA"
"21",0.08,0.0109572180587307,"CAISA"
"22",0.084,0.0150842338694375,"CAISA"
"23",0.088,0.0206515391263493,"CAISA"
"24",0.092,0.0279487341702396,"CAISA"
"25",0.096,0.0371294972200899,"CAISA"
"26",0.1,0.0480763149641478,"CAISA"
"27",0.104,0.060311643487344,"CAISA"
"28",0.108,0.073050286567152,"CAISA"
"29",0.112,0.0854154629630224,"CAISA"
"30",0.116,0.0967077067529562,"CAISA"
"31",0.12,0.106566770782825,"CAISA"
"32",0.124,0.114963869094702,"CAISA"
"33",0.128,0.122085763351895,"CAISA"
"34",0.132,0.128205570968145,"CAISA"
"35",0.136,0.13359373713018,"CAISA"
"36",0.14,0.138475668680327,"CAISA"
"37",0.144,0.143021327888693,"CAISA"
"38",0.148,0.14735072379725,"CAISA"
"39",0.152,0.151544728826449,"CAISA"
"40",0.156,0.155655936755853,"CAISA"
"41",0.16,0.159717575832222,"CAISA"
"42",0.164,0.163750123393536,"CAISA"
"43",0.168,0.167765919151326,"CAISA"
"44",0.172,0.171772245345586,"CAISA"
"45",0.176,0.175773314781134,"CAISA"
"46",0.18,0.179771517997176,"CAISA"
"47",0.184,0.183768186133697,"CAISA"
"48",0.188,0.187764046784433,"CAISA"
"49",0.192,0.191759490427,"CAISA"
"50",0.196,0.195754722856389,"CAISA"
"51",0.2,0.199749850607347,"CAISA"
"52",0.204,0.203744927862941,"CAISA"
"53",0.208,0.20773998170557,"CAISA"
"54",0.212,0.211735025445531,"CAISA"
"55",0.216,0.215730065521487,"CAISA"
"56",0.22,0.219725105005295,"CAISA"
"57",0.224,0.223720145348772,"CAISA"
"58",0.228,0.227715187238098,"CAISA"
"59",0.232,0.231710231004056,"CAISA"
"60",0.236,0.235705276815405,"CAISA"
"61",0.24,0.239700324768382,"CAISA"
