"fit","varobj"
"1","zero",1
"2","zero",1
"3","zero",1
"4","zero",1
"5","zero",1
"6","zero",1
"7","zero",1
"8","zero",1
"9","zero",1
"10","zero",1
"11","lasso",0.931956621853206
"12","lasso",0.98610535041143
"13","lasso",0.980320802492576
"14","lasso",0.97137576021948
"15","lasso",0.978391381698748
"16","lasso",0.967023108393366
"17","lasso",0.967931819930263
"18","lasso",0.938766177773119
"19","lasso",0.983012366361879
"20","lasso",0.96550036657957
"21","univar",0.980152386419625
"22","univar",1.00000118223982
"23","univar",1.03276148664998
"24","univar",1.05548734706965
"25","univar",0.999995633651837
"26","univar",0.984656843278772
"27","univar",0.967937099348269
"28","univar",1.0000010263654
"29","univar",0.987143885656721
"30","univar",1.00353406304161
"31","random",0.999998916061024
"32","random",1.00000252989338
"33","random",1.01540464547257
"34","random",1.00000044232387
"35","random",0.978390362174284
"36","random",1.08999330817459
"37","random",0.999999104021006
"38","random",1.02281373808363
"39","random",0.987141351155479
"40","random",1.03952854940121
