"b","sb","prior"
"1",0,0,"CAISA"
"2",0.004,4.11432705442167e-06,"CAISA"
"3",0.008,8.43835259891759e-06,"CAISA"
"4",0.012,1.31996691973753e-05,"CAISA"
"5",0.016,1.86638024745043e-05,"CAISA"
"6",0.02,2.51588707740391e-05,"CAISA"
"7",0.024,3.31080650225783e-05,"CAISA"
"8",0.028,4.3074402756156e-05,"CAISA"
"9",0.032,5.58242390136281e-05,"CAISA"
"10",0.036,7.24192239303948e-05,"CAISA"
"11",0.04,9.43514383088147e-05,"CAISA"
"12",0.044,0.000123744372034231,"CAISA"
"13",0.048,0.000163654938029966,"CAISA"
"14",0.052,0.000218531567493577,"CAISA"
"15",0.056,0.000294914963387305,"CAISA"
"16",0.06,0.000402518138689173,"CAISA"
"17",0.064,0.000555901382213981,"CAISA"
"18",0.068,0.000777080866266059,"CAISA"
"19",0.072,0.00109959601875583,"CAISA"
"20",0.076,0.00157482776107092,"CAISA"
"21",0.08,0.00228169856772322,"CAISA"
"22",0.084,0.00334119063381389,"CAISA"
"23",0.088,0.00493700763831505,"CAISA"
"24",0.092,0.00734212834584991,"CAISA"
"25",0.096,0.0109456169857279,"CAISA"
"26",0.1,0.0162610535827974,"CAISA"
"27",0.104,0.0238753897614796,"CAISA"
"28",0.108,0.0342785475350049,"CAISA"
"29",0.112,0.0475510626179071,"CAISA"
"30",0.116,0.0630432500235814,"CAISA"
"31",0.12,0.0793644826551817,"CAISA"
"32",0.124,0.094876057540611,"CAISA"
"33",0.128,0.108377689864003,"CAISA"
"34",0.132,0.119446618057661,"CAISA"
"35",0.136,0.12829245388903,"CAISA"
"36",0.14,0.13541430064639,"CAISA"
"37",0.144,0.141333508581243,"CAISA"
"38",0.148,0.1464714880548,"CAISA"
"39",0.152,0.151126757992743,"CAISA"
"40",0.156,0.155494632367046,"CAISA"
"41",0.16,0.15969634627196,"CAISA"
"42",0.164,0.163804344634617,"CAISA"
"43",0.168,0.167860643726335,"CAISA"
"44",0.172,0.171889003755158,"CAISA"
"45",0.176,0.175902559772149,"CAISA"
"46",0.18,0.179908420700386,"CAISA"
"47",0.184,0.183910356530393,"CAISA"
"48",0.188,0.187910327315039,"CAISA"
"49",0.192,0.19190933243868,"CAISA"
"50",0.196,0.195907871747738,"CAISA"
"51",0.2,0.199906190519744,"CAISA"
"52",0.204,0.203904406857758,"CAISA"
"53",0.208,0.207902576571109,"CAISA"
"54",0.212,0.211900725545383,"CAISA"
"55",0.216,0.215898865567362,"CAISA"
"56",0.22,0.21989700190749,"CAISA"
"57",0.224,0.223895136881361,"CAISA"
"58",0.228,0.22789327148987,"CAISA"
"59",0.232,0.231891406159893,"CAISA"
"60",0.236,0.235889541072344,"CAISA"
"61",0.24,0.23988767630469,"CAISA"
"62",0.244,0.243885811891695,"CAISA"
"63",0.248,0.247883947850821,"CAISA"
"64",0.252,0.251882084192642,"CAISA"
"65",0.256,0.255880220925048,"CAISA"
"66",0.26,0.259878358054895,"CAISA"
"67",0.264,0.263876495588655,"CAISA"
"68",0.268,0.267874633532657,"CAISA"
"69",0.272,0.271872771893177,"CAISA"
"70",0.276,0.275870910676477,"CAISA"
"71",0.28,0.279869049888813,"CAISA"
"72",0.284,0.283867189536439,"CAISA"
"73",0.288,0.28786532962561,"CAISA"
"74",0.292,0.291863470162583,"CAISA"
"75",0.296,0.295861611153617,"CAISA"
"76",0.3,0.29985975260497,"CAISA"
"77",0.304,0.303857894522905,"CAISA"
"78",0.308,0.307856036913683,"CAISA"
"79",0.312,0.311854179783569,"CAISA"
"80",0.316,0.315852323138829,"CAISA"
"81",0.32,0.31985046698573,"CAISA"
"82",0.324,0.323848611330541,"CAISA"
"83",0.328,0.327846756179533,"CAISA"
"84",0.332,0.331844901538977,"CAISA"
"85",0.336,0.335843047415148,"CAISA"
"86",0.34,0.339841193814322,"CAISA"
"87",0.344,0.343839340742774,"CAISA"
"88",0.348,0.347837488206786,"CAISA"
"89",0.352,0.351835636212635,"CAISA"
"90",0.356,0.355833784766606,"CAISA"
"91",0.36,0.359831933874983,"CAISA"
"92",0.364,0.363830083544049,"CAISA"
"93",0.368,0.367828233780094,"CAISA"
"94",0.372,0.371826384589407,"CAISA"
"95",0.376,0.375824535978277,"CAISA"
"96",0.38,0.379822687952999,"CAISA"
"97",0.384,0.383820840519866,"CAISA"
"98",0.388,0.387818993685175,"CAISA"
"99",0.392,0.391817147455224,"CAISA"
"100",0.396,0.395815301836312,"CAISA"
"101",0.4,0.399813456834742,"CAISA"
"102",0,0,"SCAD"
"103",0.004,0,"SCAD"
"104",0.008,0,"SCAD"
"105",0.012,0,"SCAD"
"106",0.016,0,"SCAD"
"107",0.02,0,"SCAD"
"108",0.024,0,"SCAD"
"109",0.028,0,"SCAD"
"110",0.032,0,"SCAD"
"111",0.036,0,"SCAD"
"112",0.04,0,"SCAD"
"113",0.044,0,"SCAD"
"114",0.048,0,"SCAD"
"115",0.052,0,"SCAD"
"116",0.056,0,"SCAD"
"117",0.06,0,"SCAD"
"118",0.064,0,"SCAD"
"119",0.068,0,"SCAD"
"120",0.072,0,"SCAD"
"121",0.076,0,"SCAD"
"122",0.08,0.00247515553231817,"SCAD"
"123",0.084,0.00647515553231816,"SCAD"
"124",0.088,0.0104751555323182,"SCAD"
"125",0.092,0.0144751555323182,"SCAD"
"126",0.096,0.0184751555323182,"SCAD"
"127",0.1,0.0224751555323182,"SCAD"
"128",0.104,0.0264751555323182,"SCAD"
"129",0.108,0.0304751555323182,"SCAD"
"130",0.112,0.0344751555323182,"SCAD"
"131",0.116,0.0384751555323181,"SCAD"
"132",0.12,0.0424751555323181,"SCAD"
"133",0.124,0.0464751555323182,"SCAD"
"134",0.128,0.0504751555323182,"SCAD"
"135",0.132,0.0544751555323182,"SCAD"
"136",0.136,0.0584751555323182,"SCAD"
"137",0.14,0.0624751555323182,"SCAD"
"138",0.144,0.0664751555323181,"SCAD"
"139",0.148,0.0704751555323181,"SCAD"
