"b","sb","prior"
"167",13,0,"SCAD"
"168",13.2,0,"SCAD"
"169",13.4,0,"SCAD"
"170",13.6,0,"SCAD"
"171",13.8,0,"SCAD"
"172",14,0,"SCAD"
"173",14.2,0,"SCAD"
"174",14.4,0,"SCAD"
"175",14.6,0,"SCAD"
"176",14.8,0,"SCAD"
"177",15,0,"SCAD"
"178",15.2,0,"SCAD"
"179",15.4,0,"SCAD"
"180",15.6,0,"SCAD"
"181",15.8,0,"SCAD"
"182",16,0,"SCAD"
"183",16.2,0,"SCAD"
"184",16.4,0,"SCAD"
"185",16.6,0,"SCAD"
"186",16.8,0,"SCAD"
"187",17,0,"SCAD"
"188",17.2,0,"SCAD"
"189",17.4,0,"SCAD"
"190",17.6,0.141890850117015,"SCAD"
"191",17.8,0.341890850117014,"SCAD"
"192",18,0.541890850117014,"SCAD"
"193",18.2,0.741890850117013,"SCAD"
"194",18.4,0.941890850117016,"SCAD"
"195",18.6,1.14189085011702,"SCAD"
"196",18.8,1.34189085011701,"SCAD"
"197",19,1.54189085011701,"SCAD"
"198",19.2,1.74189085011701,"SCAD"
"199",19.4,1.94189085011701,"SCAD"
"200",19.6,2.14189085011702,"SCAD"
"201",19.8,2.34189085011701,"SCAD"
"202",20,2.54189085011701,"SCAD"
"203",0,0,"MCP"
"204",0.2,0,"MCP"
"205",0.4,0,"MCP"
"206",0.6,0,"MCP"
"207",0.8,0,"MCP"
"208",1,0,"MCP"
"209",1.2,0,"MCP"
"210",1.4,0,"MCP"
"211",1.6,0,"MCP"
"212",1.8,0,"MCP"
"213",2,0,"MCP"
"214",2.2,0,"MCP"
"215",2.4,0,"MCP"
"216",2.6,0,"MCP"
"217",2.8,0,"MCP"
"218",3,0,"MCP"
"219",3.2,0,"MCP"
"220",3.4,0,"MCP"
"221",3.6,0,"MCP"
"222",3.8,0,"MCP"
"223",4,0,"MCP"
"224",4.2,0,"MCP"
"225",4.4,0,"MCP"
"226",4.6,0,"MCP"
"227",4.8,0,"MCP"
"228",5,0,"MCP"
"229",5.2,0,"MCP"
"230",5.4,0,"MCP"
"231",5.6,0,"MCP"
"232",5.8,0,"MCP"
"233",6,0,"MCP"
"234",6.2,0,"MCP"
"235",6.4,0,"MCP"
"236",6.6,0,"MCP"
"237",6.8,0,"MCP"
"238",7,0,"MCP"
"239",7.2,0,"MCP"
"240",7.4,0,"MCP"
"241",7.6,0,"MCP"
"242",7.8,0,"MCP"
"243",8,0,"MCP"
"244",8.2,0,"MCP"
"245",8.4,0,"MCP"
"246",8.6,0,"MCP"
"247",8.8,0,"MCP"
"248",9,0,"MCP"
"249",9.2,0,"MCP"
"250",9.4,0,"MCP"
"251",9.6,0,"MCP"
"252",9.8,0,"MCP"
"253",10,0,"MCP"
"254",10.2,0,"MCP"
"255",10.4,0,"MCP"
"256",10.6,0,"MCP"
"257",10.8,0,"MCP"
"258",11,0,"MCP"
"259",11.2,0,"MCP"
"260",11.4,0,"MCP"
"261",11.6,0,"MCP"
"262",11.8,0,"MCP"
