"fdr1","power1","fdr2","power2","fdr3","power3","fit"
"110",0.0101010101010101,0.91588785046729,0.343434343434343,0.325,0.0101010101010101,0.98,"L0Learn"
"111",0,0.880733944954128,0.294736842105263,0.335,0,0.98,"L0Learn"
"112",0.0674157303370787,0.89247311827957,0.66304347826087,0.155,0,0.96,"L0Learn"
"113",0.103448275862069,0.896551724137931,0.276595744680851,0.34,0,0.97,"L0Learn"
"114",0.104166666666667,0.895833333333333,0.292134831460674,0.315,0.0102040816326531,0.97,"L0Learn"
"115",0.0210526315789473,0.837837837837838,0.265957446808511,0.345,0,0.97,"L0Learn"
"116",0.0421052631578948,0.883495145631068,0.314606741573034,0.305,0,0.97,"L0Learn"
"117",0,0.855769230769231,0.313131313131313,0.34,0,0.97,"L0Learn"
"118",0.1,0.882352941176471,0.337209302325581,0.285,0.0102040816326531,0.97,"L0Learn"
"119",0.0404040404040404,0.940594059405941,0.5,0.25,0.0102040816326531,0.97,"L0Learn"
"120",0.1,0.947368421052632,0.255813953488372,0.32,0.0102040816326531,0.97,"L0Learn"
"121",0,0.841584158415842,0.625,0.045,0,0.97,"SCAD"
"122",0,0.684684684684685,0.375,0.075,0.0849056603773585,0.97,"SCAD"
"123",0,0.398058252427184,0.526315789473684,0.045,0.0841121495327103,0.98,"SCAD"
"124",0,0.52,0.5,0.06,0.0103092783505154,0.96,"SCAD"
"125",0,0.870588235294118,0.72,0.035,0.03,0.97,"SCAD"
"126",0,0.438202247191011,0.409090909090909,0.065,0.03,0.97,"SCAD"
"127",0,0.46875,0.576923076923077,0.055,0.0294117647058824,0.99,"SCAD"
"128",0,0.213483146067416,0.653846153846154,0.045,0.0747663551401869,0.99,"SCAD"
"129",0,0.305263157894737,0.565217391304348,0.05,0.02,0.98,"SCAD"
"130",0,0.813084112149533,0.48,0.065,0.173553719008264,1,"SCAD"
"131",0,0.669724770642202,0.652173913043478,0.04,0.0101010101010101,0.98,"SCAD"
"132",0,0.623655913978495,0.666666666666667,0.05,0.0204081632653061,0.96,"SCAD"
"133",0,0.735632183908046,0.478260869565217,0.06,0.0202020202020202,0.97,"SCAD"
"134",0,0.46875,0.708333333333333,0.035,0.02,0.98,"SCAD"
"135",0,0.603603603603604,0.761904761904762,0.025,0.0102040816326531,0.97,"SCAD"
"136",0,0.728155339805825,0.571428571428571,0.06,0.058252427184466,0.97,"SCAD"
"137",0,0.442307692307692,0.653846153846154,0.045,0.0934579439252337,0.97,"SCAD"
"138",0,0.205882352941176,0.521739130434783,0.055,0.0833333333333334,0.99,"SCAD"
"139",0,0.861386138613861,0.75,0.035,0.0101010101010101,0.98,"SCAD"
"140",0,0.757894736842105,0.52,0.06,0.0754716981132075,0.98,"SCAD"
"141",0,0.831683168316832,0.711026615969582,0.38,0.251908396946565,0.98,"MCP"
"142",0,0.684684684684685,0.745098039215686,0.325,0.109090909090909,0.98,"MCP"
"143",0.0555555555555556,0.495145631067961,0.744444444444444,0.345,0.140350877192982,0.98,"MCP"
"144",0.0350877192982456,0.55,0.72972972972973,0.35,0.23015873015873,0.97,"MCP"
"145",0,0.870588235294118,0.691666666666667,0.37,0.170940170940171,0.97,"MCP"
"146",0,0.415730337078652,0.698795180722892,0.375,0.140350877192982,0.98,"MCP"
"147",0.02,0.510416666666667,0.725925925925926,0.37,0.175,0.99,"MCP"
"148",0,0.269662921348315,0.731800766283525,0.35,0.201612903225806,0.99,"MCP"
"149",0.032258064516129,0.315789473684211,0.728346456692913,0.345,0.214285714285714,0.99,"MCP"
"150",0,0.813084112149533,0.713114754098361,0.35,0.285714285714286,1,"MCP"
"151",0,0.669724770642202,0.726277372262774,0.375,0.145299145299145,1,"MCP"
"152",0,0.602150537634409,0.74031007751938,0.335,0.238461538461539,0.99,"MCP"
"153",0,0.67816091954023,0.729007633587786,0.355,0.286764705882353,0.97,"MCP"
"154",0.0408163265306123,0.489583333333333,0.720149253731343,0.375,0.155172413793103,0.98,"MCP"
"155",0,0.594594594594595,0.72992700729927,0.37,0.0841121495327103,0.98,"MCP"
"156",0,0.718446601941748,0.699186991869919,0.37,0.216,0.98,"MCP"
"157",0.0600000000000001,0.451923076923077,0.72265625,0.355,0.255639097744361,0.99,"MCP"
"158",0.111111111111111,0.235294117647059,0.753968253968254,0.31,0.255639097744361,0.99,"MCP"
"159",0,0.861386138613861,0.719367588932806,0.355,0.0841121495327103,0.98,"MCP"
"160",0,0.778947368421053,0.70042194092827,0.355,0.216,0.98,"MCP"
