"b","sb","prior"
"1",0,0,"CAISA"
"2",0.07,0.000214333140400063,"CAISA"
"3",0.14,0.0147030418437289,"CAISA"
"4",0.21,0.205851343703177,"CAISA"
"5",0.28,0.279860572554937,"CAISA"
"6",0.35,0.349827334110398,"CAISA"
"7",0.42,0.419793125309118,"CAISA"
"8",0.49,0.489759094805345,"CAISA"
"9",0.56,0.559725273505318,"CAISA"
"10",0.63,0.629691692813563,"CAISA"
"11",0.7,0.699658384723337,"CAISA"
"12",0.77,0.769625381877786,"CAISA"
"13",0.84,0.839592717626017,"CAISA"
"14",0.91,0.909560426073166,"CAISA"
"15",0.98,0.979528542123392,"CAISA"
"16",1.05,1.04949710151462,"CAISA"
"17",1.12,1.11946614084372,"CAISA"
"18",1.19,1.18943569758064,"CAISA"
"19",1.26,1.25940581007,"CAISA"
"20",1.33,1.32937651751825,"CAISA"
"21",1.4,1.39934785996471,"CAISA"
"22",1.47,1.46931987823437,"CAISA"
"23",1.54,1.53929261387054,"CAISA"
"24",1.61,1.60926610904493,"CAISA"
"25",1.68,1.67924040644327,"CAISA"
"26",1.75,1.74921554912414,"CAISA"
"27",1.82,1.81919158034885,"CAISA"
"28",1.89,1.88916854338054,"CAISA"
"29",1.96,1.95914648125072,"CAISA"
"30",2.03,2.02912543649177,"CAISA"
"31",2.1,2.09910545083453,"CAISA"
"32",2.17,2.16908656487047,"CAISA"
"33",2.24,2.23906881767887,"CAISA"
"34",2.31,2.30905224641995,"CAISA"
"35",2.38,2.37903688589618,"CAISA"
"36",2.45,2.44902276808496,"CAISA"
"37",2.52,2.51900992164704,"CAISA"
"38",2.59,2.58899837141652,"CAISA"
"39",2.66,2.65898813787958,"CAISA"
"40",2.73,2.72897923665052,"CAISA"
"41",2.8,2.79897167795513,"CAISA"
"42",2.87,2.86896546613264,"CAISA"
"43",2.94,2.93896059916867,"CAISA"
"44",3.01,3.00895706827245,"CAISA"
"45",3.08,3.07895485751217,"CAISA"
"46",3.15,3.14895394352229,"CAISA"
"47",3.22,3.21895429529649,"CAISA"
"48",3.29,3.28895587407876,"CAISA"
"49",3.36,3.35895863336393,"CAISA"
"50",3.43,3.42896251901643,"CAISA"
"51",3.5,3.49896746951397,"CAISA"
"52",3.57,3.56897341631896,"CAISA"
"53",3.64,3.63898028437757,"CAISA"
"54",3.71,3.70898799274207,"CAISA"
"55",3.78,3.77899645530819,"CAISA"
"56",3.85,3.8490055816555,"CAISA"
"57",3.92,3.91901527797489,"CAISA"
"58",3.99,3.9890254480645,"CAISA"
"59",4.06,4.05903599437235,"CAISA"
"60",4.13,4.1290468190626,"CAISA"
"61",4.2,4.19905782508133,"CAISA"
"62",4.27,4.26906891719769,"CAISA"
"63",4.34,4.33908000299722,"CAISA"
"64",4.41,4.40909099380626,"CAISA"
"65",4.48,4.47910180552847,"CAISA"
"66",4.55,4.54911235937817,"CAISA"
"67",4.62,4.61912258249857,"CAISA"
"68",4.69,4.68913240845697,"CAISA"
"69",4.76,4.75914177761299,"CAISA"
"70",4.83,4.82915063735968,"CAISA"
"71",4.9,4.89915894224102,"CAISA"
"72",4.97,4.96916665395224,"CAISA"
"73",5.04,5.03917374123237,"CAISA"
"74",5.11,5.10918017966011,"CAISA"
"75",5.18,5.17918595136583,"CAISA"
"76",5.25,5.24919104467324,"CAISA"
"77",5.32,5.31919545368474,"CAISA"
"78",5.39,5.38919917782413,"CAISA"
"79",5.46,5.45920222134998,"CAISA"
"80",5.53,5.52920459285184,"CAISA"
"81",5.6,5.59920630474056,"CAISA"
"82",5.67,5.66920737274252,"CAISA"
"83",5.74,5.73920781540619,"CAISA"
"84",5.81,5.80920765362796,"CAISA"
"85",5.88,5.87920691020299,"CAISA"
"86",5.95,5.94920560940515,"CAISA"
"87",6.02,6.01920377659916,"CAISA"
"88",6.09,6.08920143788686,"CAISA"
"89",6.16,6.15919861978843,"CAISA"
"90",6.23,6.22919534895878,"CAISA"
"91",6.3,6.29919165193838,"CAISA"
"92",6.37,6.36918755493754,"CAISA"
"93",6.44,6.43918308365236,"CAISA"
"94",6.51,6.50917826311055,"CAISA"
"95",6.58,6.57917311754499,"CAISA"
"96",6.65,6.64916767029265,"CAISA"
"97",6.72,6.71916194371662,"CAISA"
"98",6.79,6.78915595914892,"CAISA"
"99",6.86,6.85914973685162,"CAISA"
"100",6.93,6.92914329599431,"CAISA"
"101",7,6.99913665464551,"CAISA"
"102",0,0,"SCAD"
"103",0.07,0,"SCAD"
"104",0.14,0,"SCAD"
"105",0.21,0,"SCAD"
"106",0.28,0,"SCAD"
"107",0.35,0,"SCAD"
"108",0.42,0,"SCAD"
"109",0.49,0,"SCAD"
"110",0.56,0,"SCAD"
"111",0.63,0,"SCAD"
"112",0.7,0,"SCAD"
"113",0.77,0,"SCAD"
"114",0.84,0,"SCAD"
"115",0.91,0,"SCAD"
"116",0.98,0,"SCAD"
"117",1.05,0,"SCAD"
"118",1.12,0,"SCAD"
"119",1.19,0,"SCAD"
"120",1.26,0,"SCAD"
"121",1.33,0,"SCAD"
"122",1.4,0,"SCAD"
"123",1.47,0,"SCAD"
"124",1.54,0,"SCAD"
"125",1.61,0,"SCAD"
"126",1.68,0,"SCAD"
"127",1.75,0.0190982900135952,"SCAD"
"128",1.82,0.0890982900135953,"SCAD"
"129",1.89,0.159098290013595,"SCAD"
"130",1.96,0.229098290013595,"SCAD"
"131",2.03,0.299098290013595,"SCAD"
"132",2.1,0.369098290013595,"SCAD"
"133",2.17,0.439098290013595,"SCAD"
"134",2.24,0.509098290013595,"SCAD"
"135",2.31,0.579098290013595,"SCAD"
"136",2.38,0.649098290013596,"SCAD"
"137",2.45,0.719098290013595,"SCAD"
"138",2.52,0.789098290013595,"SCAD"
"139",2.59,0.859098290013595,"SCAD"
"140",2.66,0.929098290013595,"SCAD"
"141",2.73,0.999098290013595,"SCAD"
"142",2.8,1.0690982900136,"SCAD"
"143",2.87,1.1390982900136,"SCAD"
"144",2.94,1.2090982900136,"SCAD"
"145",3.01,1.27909829001359,"SCAD"
"146",3.08,1.3490982900136,"SCAD"
"147",3.15,1.4190982900136,"SCAD"
"148",3.22,1.4890982900136,"SCAD"
"149",3.29,1.5590982900136,"SCAD"
"150",3.36,1.6290982900136,"SCAD"
"151",3.43,1.69909829001359,"SCAD"
"152",3.5,1.80729487004079,"SCAD"
"153",3.57,1.94729487004079,"SCAD"
"154",3.64,2.08729487004079,"SCAD"
"155",3.71,2.22729487004079,"SCAD"
"156",3.78,2.36729487004079,"SCAD"
"157",3.85,2.50729487004079,"SCAD"
"158",3.92,2.64729487004079,"SCAD"
"159",3.99,2.78729487004079,"SCAD"
"160",4.06,2.92729487004079,"SCAD"
"161",4.13,3.06729487004079,"SCAD"
"162",4.2,3.20729487004079,"SCAD"
"163",4.27,3.34729487004078,"SCAD"
"164",4.34,3.48729487004079,"SCAD"
"165",4.41,3.62729487004079,"SCAD"
"166",4.48,3.76729487004079,"SCAD"
"167",4.55,3.90729487004079,"SCAD"
"168",4.62,4.04729487004079,"SCAD"
"169",4.69,4.18729487004079,"SCAD"
"170",4.76,4.32729487004079,"SCAD"
"171",4.83,4.46729487004079,"SCAD"
"172",4.9,4.60729487004079,"SCAD"
"173",4.97,4.74729487004079,"SCAD"
"174",5.04,4.88729487004079,"SCAD"
"175",5.11,5.02729487004078,"SCAD"
"176",5.18,5.16729487004079,"SCAD"
"177",5.25,5.25,"SCAD"
"178",5.32,5.32,"SCAD"
"179",5.39,5.39,"SCAD"
"180",5.46,5.46,"SCAD"
"181",5.53,5.53,"SCAD"
"182",5.6,5.6,"SCAD"
"183",5.67,5.67,"SCAD"
"184",5.74,5.74,"SCAD"
"185",5.81,5.81,"SCAD"
"186",5.88,5.88,"SCAD"
"187",5.95,5.95,"SCAD"
"188",6.02,6.02,"SCAD"
"189",6.09,6.09,"SCAD"
"190",6.16,6.16,"SCAD"
"191",6.23,6.23,"SCAD"
"192",6.3,6.3,"SCAD"
"193",6.37,6.37,"SCAD"
"194",6.44,6.44,"SCAD"
