"fit","time"
"1","CAISA",0.118999999999915
"2","CAISA",0.139000000000124
"3","CAISA",0.132000000000062
"4","CAISA",0.166000000000167
"5","CAISA",0.137000000000171
"6","CAISA",0.143000000000029
"7","CAISA",0.139000000000124
"8","CAISA",0.125999999999976
"9","CAISA",0.134000000000015
"10","CAISA",0.459999999999809
"11","CAISA",0.155999999999949
"12","CAISA",0.150000000000091
"13","CAISA",0.135999999999967
"14","CAISA",0.141000000000076
"15","CAISA",0.143000000000029
"16","CAISA",0.161000000000058
"17","CAISA",0.126999999999953
"18","CAISA",0.151000000000067
"19","CAISA",0.145999999999731
"20","CAISA",0.144999999999982
"21","SUSIE",2.13100000000009
"22","SUSIE",0.423999999999978
"23","SUSIE",0.432999999999993
"24","SUSIE",1.13099999999986
"25","SUSIE",0.811000000000149
"26","SUSIE",0.433999999999969
"27","SUSIE",0.942999999999984
"28","SUSIE",0.576000000000022
"29","SUSIE",0.837999999999965
"30","SUSIE",1.34400000000005
"31","SUSIE",0.439999999999827
"32","SUSIE",0.691000000000031
"33","SUSIE",1.18299999999999
"34","SUSIE",0.758000000000038
"35","SUSIE",1.24900000000002
"36","SUSIE",0.793999999999869
"37","SUSIE",0.544000000000096
"38","SUSIE",0.411000000000058
"39","SUSIE",0.422999999999774
"40","SUSIE",0.759000000000015
"41","VARBVS",1.20000000000005
"42","VARBVS",1.39200000000005
"43","VARBVS",1.22499999999991
"44","VARBVS",1.23199999999997
"45","VARBVS",1.1690000000001
"46","VARBVS",1.12000000000012
"47","VARBVS",1.04500000000007
"48","VARBVS",1.31999999999994
"49","VARBVS",1.33500000000004
"50","VARBVS",1.25699999999983
"51","VARBVS",1.05300000000011
"52","VARBVS",1.29399999999987
"53","VARBVS",1.17799999999988
"54","VARBVS",1.16099999999983
"55","VARBVS",1.18299999999999
"56","VARBVS",1.31499999999983
"57","VARBVS",1.18100000000004
"58","VARBVS",1.10600000000022
"59","VARBVS",1.16499999999996
"60","VARBVS",1.19500000000016
"61","L0Learn",2.24199999999996
"62","L0Learn",2.32199999999989
"63","L0Learn",2.20100000000002
"64","L0Learn",2.31099999999992
"65","L0Learn",2.31600000000003
"66","L0Learn",2.19299999999998
"67","L0Learn",2.08899999999994
"68","L0Learn",2.029
"69","L0Learn",1.92600000000016
"70","L0Learn",1.98199999999997
"71","L0Learn",2.1719999999998
"72","L0Learn",2.29099999999994
"73","L0Learn",2.26099999999997
"74","L0Learn",2.31799999999998
"75","L0Learn",2.18700000000013
"76","L0Learn",2.21600000000012
"77","L0Learn",2.02199999999993
"78","L0Learn",2.30400000000009
"79","L0Learn",2.17900000000009
"80","L0Learn",2.07199999999966
"81","LASSO",13.694
"82","LASSO",13.491
"83","LASSO",11.0319999999999
"84","LASSO",8.97900000000004
"85","LASSO",10.2859999999998
"86","LASSO",10.0429999999999
"87","LASSO",9.40800000000013
"88","LASSO",12.0360000000001
"89","LASSO",11.615
"90","LASSO",8.29899999999998
"91","LASSO",9.39700000000016
"92","LASSO",10.6410000000001
"93","LASSO",9.92899999999986
"94","LASSO",9.4860000000001
"95","LASSO",9.07199999999989
"96","LASSO",10.8340000000001
"97","LASSO",11.299
"98","LASSO",9.54899999999998
"99","LASSO",10.114
"100","LASSO",10.569
"101","RIDGE",6.18399999999997
"102","RIDGE",6.24499999999989
"103","RIDGE",6.25099999999998
"104","RIDGE",6.01700000000005
"105","RIDGE",6.15699999999993
"106","RIDGE",6.26999999999998
"107","RIDGE",6.15599999999995
"108","RIDGE",6.2320000000002
"109","RIDGE",6.35400000000004
"110","RIDGE",6.12300000000005
"111","RIDGE",6.11999999999989
"112","RIDGE",6.28899999999999
"113","RIDGE",6.11999999999989
"114","RIDGE",6.08400000000006
"115","RIDGE",6.15900000000011
"116","RIDGE",6.17100000000005
"117","RIDGE",6.21800000000007
"118","RIDGE",6.11000000000013
"119","RIDGE",6.13799999999992
"120","RIDGE",6.27100000000019
"121","E-NET",13.7930000000001
"122","E-NET",13.7640000000001
"123","E-NET",11.1079999999999
"124","E-NET",9
"125","E-NET",10.2269999999999
"126","E-NET",9.92900000000009
"127","E-NET",9.47700000000009
"128","E-NET",12.001
"129","E-NET",11.5140000000001
"130","E-NET",8.32199999999989
"131","E-NET",9.57799999999997
"132","E-NET",10.5720000000001
"133","E-NET",9.85699999999997
"134","E-NET",9.45699999999988
"135","E-NET",9.03200000000015
"136","E-NET",11.1100000000001
"137","E-NET",11.328
"138","E-NET",9.52800000000002
"139","E-NET",10.0279999999998
"140","E-NET",10.489
"141","BLASSO",3.41099999999983
"142","BLASSO",3.73900000000003
"143","BLASSO",3.423
"144","BLASSO",3.62699999999995
"145","BLASSO",3.43999999999983
"146","BLASSO",3.44400000000019
"147","BLASSO",3.45000000000005
"148","BLASSO",3.41500000000019
"149","BLASSO",3.63799999999992
"150","BLASSO",3.49499999999989
"151","BLASSO",3.46000000000004
"152","BLASSO",3.47000000000003
"153","BLASSO",3.404
"154","BLASSO",3.375
"155","BLASSO",3.452
"156","BLASSO",3.45900000000006
"157","BLASSO",3.52499999999986
"158","BLASSO",3.41199999999981
"159","BLASSO",3.47899999999981
"160","BLASSO",3.41399999999976
"161","BayesB",3.03500000000008
"162","BayesB",3.38800000000015
"163","BayesB",2.97299999999996
"164","BayesB",2.9380000000001
"165","BayesB",3.06799999999998
"166","BayesB",2.83200000000011
"167","BayesB",2.78400000000011
"168","BayesB",3.29600000000005
"169","BayesB",3.15000000000009
"170","BayesB",2.96600000000012
"171","BayesB",2.75900000000001
"172","BayesB",2.98900000000003
