probIn scale
0.2195769 0.8359831
0.2534416 0.8425314
0.2367404 0.8206613
0.2118886 0.7969576
0.1907963 0.8216584
0.1940684 0.8022805
0.2006299 0.7946396
0.2067084 0.8220433
0.2119894 0.8442355
0.2269361 0.8561257
0.2382145 0.8401345
0.2412259 0.8431275
0.240738 0.8728635
0.2119994 0.8611564
0.1799608 0.8587164
0.1951518 0.849199
0.1877274 0.8473846
0.1924788 0.8533947
0.2130449 0.8551022
0.2276783 0.87037
0.2414285 0.8597689
0.2360386 0.8698628
0.2405148 0.8868708
0.2428313 0.9125508
