"fit","time"
"1","CAISA",0.451999999999771
"2","CAISA",0.728000000000065
"3","CAISA",0.365000000000236
"4","CAISA",0.215999999999894
"5","CAISA",0.449000000000069
"6","CAISA",0.402000000000044
"7","CAISA",0.356000000000222
"8","CAISA",0.548999999999978
"9","CAISA",0.576000000000022
"10","CAISA",0.253000000000156
"11","CAISA",0.419999999999618
"12","CAISA",0.429000000000087
"13","CAISA",0.380000000000109
"14","CAISA",0.413000000000011
"15","CAISA",0.487999999999829
"16","CAISA",0.494999999999891
"17","CAISA",0.798000000000229
"18","CAISA",0.288000000000011
"19","CAISA",0.338000000000193
"20","CAISA",0.242999999999938
"21","SUSIE",0.688000000000102
"22","SUSIE",2.57700000000023
"23","SUSIE",2.27800000000025
"24","SUSIE",2.8100000000004
"25","SUSIE",1.14300000000003
"26","SUSIE",1.23399999999992
"27","SUSIE",0.61200000000008
"28","SUSIE",2.3739999999998
"29","SUSIE",2.13299999999981
"30","SUSIE",2.49099999999999
"31","SUSIE",3.88499999999976
"32","SUSIE",2.21900000000005
"33","SUSIE",1.0029999999997
"34","SUSIE",3.14100000000008
"35","SUSIE",2.67999999999984
"36","SUSIE",1.53800000000001
"37","SUSIE",4.50500000000011
"38","SUSIE",0.863000000000284
"39","SUSIE",1.20399999999972
"40","SUSIE",1.36599999999999
"41","VARBVS",3.58699999999999
"42","VARBVS",4.9680000000003
"43","VARBVS",9.90300000000025
"44","VARBVS",3.98699999999963
"45","VARBVS",5.44300000000021
"46","VARBVS",4.61099999999988
"47","VARBVS",3.13700000000017
"48","VARBVS",6.04199999999992
"49","VARBVS",5.22199999999975
"50","VARBVS",7.64300000000003
"51","VARBVS",7.74299999999994
"52","VARBVS",7.90900000000011
"53","VARBVS",5.52100000000019
"54","VARBVS",9.98699999999963
"55","VARBVS",9.88200000000006
"56","VARBVS",3.25900000000001
"57","VARBVS",7.779
"58","VARBVS",3.11400000000003
"59","VARBVS",5.49800000000005
"60","VARBVS",6.33100000000013
"61","L0Learn",2.0930000000003
"62","L0Learn",2.94000000000005
"63","L0Learn",2.39399999999978
"64","L0Learn",2.03099999999995
"65","L0Learn",2.5300000000002
"66","L0Learn",2.99600000000009
"67","L0Learn",1.63300000000027
"68","L0Learn",2.91699999999992
"69","L0Learn",1.9380000000001
"70","L0Learn",2.20499999999993
"71","L0Learn",2.19300000000021
"72","L0Learn",2.63000000000011
"73","L0Learn",2.41899999999987
"74","L0Learn",3.04699999999957
"75","L0Learn",2.22499999999991
"76","L0Learn",2.10500000000002
"77","L0Learn",3.29500000000007
"78","L0Learn",2.25399999999991
"79","L0Learn",2.27100000000019
"80","L0Learn",2.06799999999976
"81","LASSO",5.18599999999969
"82","LASSO",4.90100000000029
"83","LASSO",4.79599999999982
"84","LASSO",8.9369999999999
"85","LASSO",5.00799999999981
"86","LASSO",5.34999999999991
"87","LASSO",3.73300000000017
"88","LASSO",4.26800000000003
"89","LASSO",4.23599999999988
"90","LASSO",4.654
"91","LASSO",5.20400000000018
"92","LASSO",5.84700000000021
"93","LASSO",5.31899999999996
"94","LASSO",6.2489999999998
"95","LASSO",4.94399999999996
"96","LASSO",4.73400000000038
"97","LASSO",5.11099999999988
"98","LASSO",4.94899999999961
"99","LASSO",5.87899999999991
"100","LASSO",4.70499999999993
"101","RIDGE",9.98799999999983
"102","RIDGE",12.913
"103","RIDGE",11.1799999999998
"104","RIDGE",6.90700000000015
"105","RIDGE",11.25
"106","RIDGE",14.8040000000001
"107","RIDGE",7.11000000000013
"108","RIDGE",12.056
"109","RIDGE",8.22900000000027
"110","RIDGE",8.53600000000006
"111","RIDGE",11.7579999999998
"112","RIDGE",13.5410000000002
"113","RIDGE",12.4540000000002
"114","RIDGE",11.3040000000001
"115","RIDGE",11.9290000000001
"116","RIDGE",8.22699999999986
"117","RIDGE",13.3330000000001
"118","RIDGE",10.127
"119","RIDGE",10.855
"120","RIDGE",8.721
"121","E-NET",5.12899999999991
"122","E-NET",4.78700000000026
"123","E-NET",4.44999999999982
"124","E-NET",8.91899999999987
"125","E-NET",4.65499999999975
"126","E-NET",5.47399999999971
"127","E-NET",3.73799999999983
"128","E-NET",4.29299999999967
"129","E-NET",3.97499999999991
"130","E-NET",4.75900000000001
"131","E-NET",4.7199999999998
"132","E-NET",5.42399999999998
"133","E-NET",5.154
"134","E-NET",6.30000000000018
"135","E-NET",4.92200000000003
"136","E-NET",4.70100000000002
"137","E-NET",5.01500000000033
"138","E-NET",4.58999999999969
"139","E-NET",5.38300000000027
"140","E-NET",4.6569999999997
"141","BLASSO",7.10699999999997
"142","BLASSO",9.20299999999997
"143","BLASSO",8.30699999999979
"144","BLASSO",4.88000000000011
"145","BLASSO",8.06299999999965
"146","BLASSO",10.5859999999998
"147","BLASSO",4.97299999999996
"148","BLASSO",8.66699999999992
"149","BLASSO",5.98099999999977
"150","BLASSO",6.30200000000013
"151","BLASSO",8.19600000000037
"152","BLASSO",9.31100000000015
"153","BLASSO",8.7829999999999
"154","BLASSO",8.46500000000015
"155","BLASSO",9.24499999999989
"156","BLASSO",6.13900000000012
"157","BLASSO",10.7980000000002
"158","BLASSO",6.99000000000024
"159","BLASSO",7.56100000000015
"160","BLASSO",6.42700000000013
"161","BayesB",6.28999999999996
"162","BayesB",9.00200000000041
"163","BayesB",7.19300000000021
"164","BayesB",4.50600000000031
"165","BayesB",7.30299999999988
"166","BayesB",9.11000000000013
"167","BayesB",4.32599999999957
"168","BayesB",7.63000000000011
"169","BayesB",5.4079999999999
"170","BayesB",5.72800000000007
"171","BayesB",7.72200000000021
"172","BayesB",9.20299999999997
"173","BayesB",7.33100000000013
"174","BayesB",8.11300000000028
"175","BayesB",8.44399999999996
"176","BayesB",5.89599999999973
"177","BayesB",9.73199999999997
"178","BayesB",6.66000000000031
"179","BayesB",6.80200000000013
"180","BayesB",5.79399999999987
