"fit","time"
"1","CAISA",2.555
"2","CAISA",1.672
"3","CAISA",4.13300000000001
"4","CAISA",4.17999999999998
"5","CAISA",3.48900000000003
"6","CAISA",2.54599999999999
"7","CAISA",1.15700000000004
"8","CAISA",2.03499999999997
"9","CAISA",1.31999999999994
"10","CAISA",1.66300000000001
"11","CAISA",3.92699999999991
"12","CAISA",3.74300000000005
"13","CAISA",1.05700000000002
"14","CAISA",1.05899999999997
"15","CAISA",2.04999999999995
"16","CAISA",0.878999999999905
"17","CAISA",1.98500000000013
"18","CAISA",3.49099999999999
"19","CAISA",3.5139999999999
"20","CAISA",2.65300000000002
"21","SUSIE",3.055
"22","SUSIE",5.376
"23","SUSIE",3.77500000000001
"24","SUSIE",3.78800000000001
"25","SUSIE",4.95400000000001
"26","SUSIE",11.071
"27","SUSIE",2.73500000000001
"28","SUSIE",4.44999999999999
"29","SUSIE",3.154
"30","SUSIE",5.83699999999999
"31","SUSIE",15.456
"32","SUSIE",4.721
"33","SUSIE",3.99300000000005
"34","SUSIE",13.1600000000001
"35","SUSIE",4.48800000000006
"36","SUSIE",2.80700000000002
"37","SUSIE",5.74400000000014
"38","SUSIE",5.08200000000011
"39","SUSIE",4.09300000000007
"40","SUSIE",4.01099999999997
"41","VARBVS",18.23
"42","VARBVS",27.311
"43","VARBVS",35.86
"44","VARBVS",18.08
"45","VARBVS",22.754
"46","VARBVS",28.987
"47","VARBVS",16.037
"48","VARBVS",23.054
"49","VARBVS",15.057
"50","VARBVS",17.3560000000001
"51","VARBVS",37.982
"52","VARBVS",38.943
"53","VARBVS",29.923
"54","VARBVS",41.114
"55","VARBVS",39.069
"56","VARBVS",10.6570000000002
"57","VARBVS",27.2540000000001
"58","VARBVS",16.2329999999999
"59","VARBVS",23.999
"60","VARBVS",19.509
"61","L0Learn",2.432
"62","L0Learn",2.75999999999999
"63","L0Learn",3.53200000000001
"64","L0Learn",2.18700000000001
"65","L0Learn",2.68399999999997
"66","L0Learn",3.14099999999996
"67","L0Learn",2.04699999999997
"68","L0Learn",3.03500000000008
"69","L0Learn",2.149
"70","L0Learn",2.22000000000003
"71","L0Learn",3.02999999999997
"72","L0Learn",3.08799999999997
"73","L0Learn",3.33000000000004
"74","L0Learn",3.58100000000013
"75","L0Learn",3.12900000000013
"76","L0Learn",2.32300000000009
"77","L0Learn",3.68799999999987
"78","L0Learn",2.41100000000006
"79","L0Learn",2.93899999999985
"80","L0Learn",2.88200000000006
"81","LASSO",4.761
"82","LASSO",3.952
"83","LASSO",3.69900000000001
"84","LASSO",4.036
"85","LASSO",3.82300000000004
"86","LASSO",5.61799999999999
"87","LASSO",3.63399999999996
"88","LASSO",4.77499999999998
"89","LASSO",3.51200000000006
"90","LASSO",4.35699999999997
"91","LASSO",4.15600000000006
"92","LASSO",4.45699999999999
"93","LASSO",4.81600000000003
"94","LASSO",5.17200000000003
"95","LASSO",4.63599999999997
"96","LASSO",3.69600000000014
"97","LASSO",5.096
"98","LASSO",3.82400000000007
"99","LASSO",4.375
"100","LASSO",4.02499999999986
"101","RIDGE",10.005
"102","RIDGE",11.705
"103","RIDGE",11.073
"104","RIDGE",7.68600000000001
"105","RIDGE",12.707
"106","RIDGE",14.337
"107","RIDGE",7.37700000000001
"108","RIDGE",11.7479999999999
"109","RIDGE",7.98599999999999
"110","RIDGE",9.721
"111","RIDGE",11.758
"112","RIDGE",12.1319999999999
"113","RIDGE",13.2190000000001
"114","RIDGE",11.224
"115","RIDGE",12.5989999999999
"116","RIDGE",9.33799999999997
"117","RIDGE",14.098
"118","RIDGE",11.52
"119","RIDGE",10.4929999999999
"120","RIDGE",9.54600000000005
"121","E-NET",5.474
"122","E-NET",5.262
"123","E-NET",4.21099999999998
"124","E-NET",3.97400000000002
"125","E-NET",3.94099999999997
"126","E-NET",5.63
"127","E-NET",3.54199999999997
"128","E-NET",4.64100000000008
"129","E-NET",3.58600000000001
"130","E-NET",4.47700000000009
"131","E-NET",4.197
"132","E-NET",4.50999999999999
"133","E-NET",4.89599999999996
"134","E-NET",5.0390000000001
"135","E-NET",4.58200000000011
"136","E-NET",3.71299999999997
"137","E-NET",5.03700000000003
"138","E-NET",3.875
"139","E-NET",4.45100000000002
"140","E-NET",4.02299999999991
"141","BLASSO",7.142
"142","BLASSO",10.368
"143","BLASSO",8.29900000000001
"144","BLASSO",5.50799999999998
"145","BLASSO",8.66999999999996
"146","BLASSO",11.581
"147","BLASSO",5.55799999999999
"148","BLASSO",9.678
"149","BLASSO",6.55500000000006
"150","BLASSO",7.00199999999995
"151","BLASSO",8.88699999999994
"152","BLASSO",10.073
"153","BLASSO",9.70899999999995
"154","BLASSO",9.27600000000007
"155","BLASSO",10.0309999999999
"156","BLASSO",6.71399999999994
"157","BLASSO",11.5729999999999
"158","BLASSO",8.01299999999992
"159","BLASSO",8.52700000000004
"160","BLASSO",7.154
"161","BayesB",6.257
"162","BayesB",8.08
"163","BayesB",7.34199999999998
"164","BayesB",4.43400000000003
"165","BayesB",6.88100000000003
"166","BayesB",11.11
"167","BayesB",4.65300000000002
"168","BayesB",8.18399999999997
"169","BayesB",5.67100000000005
"170","BayesB",5.99199999999996
"171","BayesB",7.58600000000001
"172","BayesB",8.77599999999995
"173","BayesB",8.43700000000001
"174","BayesB",8.05600000000004
"175","BayesB",8.02400000000011
"176","BayesB",5.68900000000008
"177","BayesB",10.106
"178","BayesB",7.32099999999991
"179","BayesB",7.07400000000007
"180","BayesB",6.11999999999989
